guidelink,channel_id,channel_slug,channel_name,channel_name_location,channel_name_real,chantype,chancomp,channel_url,chanbouq,chanlcnfta1,chanlcnfta2,chanlcnfta3,chanlcnfox,chanlcnfet,channel_number,chlogo_light,chlogo_dark,channel_group,channel_type,chlogo
284795auepg.com.au,284795auepg.com.au,284795auepg-com-au,ABC Kids/ABC Family,ABC Kids/ABC Family Western Australia,ABC Kids/ABC Family WA,SD 576i,MPEG-4,,"[820, 950, 5029]",22,0,0,0,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation,Free-to-Air,https://i.imgur.com/QVoN03I.png
284795auepg.com.au,284795auepg.com.au,284795auepg-com-au,ABC Kids/ABC Family,ABC Kids/ABC Family Western Australia,ABC Kids/ABC Family WA,SD 576i,MPEG-4,,"[120, 320, 420, 520, 620, 720]",262,0,0,0,0,,https://i.imgur.com/QVoN03I.png,https://i.imgur.com/QVoN03I.png,Australian Broadcasting Corporation ,Free-to-Air,https://i.imgur.com/QVoN03I.png
286937auepg.com.au,286937auepg.com.au,286937auepg-com-au,7HD,7HD Gold Coast,7HD Gold Coast,HD 1080i,MPEG-4,,[603],6,60,0,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media (Regional),Free-to-Air,https://i.imgur.com/7RVJhfT.png
286937auepg.com.au,286937auepg.com.au,286937auepg-com-au,7HD,7HD Gold Coast,7HD Gold Coast,HD 1080i,MPEG-4,,[603],60,6,0,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media (Regional),Free-to-Air,https://i.imgur.com/7RVJhfT.png
289717auepg.com.au,289717auepg.com.au,289717auepg-com-au,7HD,7HD Townsville,7HD Townsville,HD 1080i,MPEG-4,,"[608, 5050]",7,70,71,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media,Free-to-Air,https://i.imgur.com/7RVJhfT.png
289717auepg.com.au,289717auepg.com.au,289717auepg-com-au,7HD,7HD Townsville,7HD Townsville,HD 1080i,MPEG-4,,[608],71,0,0,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media,Free-to-Air,https://i.imgur.com/7RVJhfT.png
289717auepg.com.au,289717auepg.com.au,289717auepg-com-au,7HD,7HD Townsville,7HD Townsville,HD 1080i,MPEG-4,,[608],70,7,71,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media,Free-to-Air,https://i.imgur.com/7RVJhfT.png
289717auepg.com.au,289717auepg.com.au,289717auepg-com-au,7,7 Townsville,7 Townsville,HD 1080p,,,"[3751, 5000, 3740]",0,0,0,0,0,,https://i.imgur.com/HQ03GSr.png,https://i.imgur.com/HQ03GSr.png,Seven West Media,Free-to-Air,https://i.imgur.com/HQ03GSr.png
289718auepg.com.au,289718auepg.com.au,289718auepg-com-au,7HD,7HD Rockhampton,7HD Rockhampton,HD 1080i,MPEG-4,,"[605, 5050]",7,70,71,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media,Free-to-Air,https://i.imgur.com/7RVJhfT.png
289718auepg.com.au,289718auepg.com.au,289718auepg-com-au,7HD,7HD Rockhampton,7HD Rockhampton,SD 576i,MPEG-4,,[605],71,0,0,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media,Free-to-Air,https://i.imgur.com/7RVJhfT.png
